class,total,cnn_correct,cnn_acc_pct,mlp_correct,mlp_acc_pct
A,331,0,0.00,0,0.00
B,432,0,0.00,0,0.00
C,310,0,0.00,0,0.00
D,245,0,0.00,0,0.00
E,498,0,0.00,0,0.00
F,247,12,4.86,0,0.00
G,348,0,0.00,0,0.00
H,436,0,0.00,0,0.00
I,288,0,0.00,0,0.00
K,331,0,0.00,0,0.00
L,209,70,33.49,0,0.00
M,394,0,0.00,0,0.00
N,291,0,0.00,0,0.00
O,246,3,1.22,0,0.00
P,347,0,0.00,0,0.00
Q,164,0,0.00,0,0.00
R,144,0,0.00,0,0.00
S,246,0,0.00,0,0.00
T,248,0,0.00,0,0.00
U,266,0,0.00,0,0.00
V,346,0,0.00,0,0.00
W,206,0,0.00,0,0.00
X,267,0,0.00,0,0.00
Y,332,138,41.57,2,0.60
TOTAL,7172,223,3.11,2,0.03
