class,total,correct,acc_pct
0,70,70,100.00
1,70,70,100.00
2,70,70,100.00
3,70,70,100.00
4,70,65,92.86
5,70,65,92.86
6,70,70,100.00
7,70,70,100.00
8,70,70,100.00
9,70,70,100.00
A,70,0,0.00
B,70,0,0.00
C,70,0,0.00
D,70,0,0.00
E,70,0,0.00
F,70,0,0.00
G,70,0,0.00
H,70,0,0.00
I,70,0,0.00
J,70,0,0.00
K,70,0,0.00
L,70,0,0.00
M,70,0,0.00
N,70,0,0.00
O,70,0,0.00
P,70,0,0.00
Q,70,0,0.00
R,70,0,0.00
S,70,0,0.00
T,65,0,0.00
U,70,0,0.00
V,70,0,0.00
W,70,0,0.00
X,70,0,0.00
Y,70,2,2.86
Z,70,0,0.00
TOTAL,2515,692,27.51
